name,intro,category,category_intro,algorithmIntro,ic_mean,ir,good_ic,best_direction,best_annual_return,best_turnover,annual_return_ls,annual_return_ls2,turnover_mean_ls,annual_ex_return_1q,annual_ex_return_5q
volatility_v2,波动率因子,,,,-0.037165,-0.124717,0.963889,high_minus_low,0.087623,0.015042,0.087623,-0.152928,0.015042,-0.027683,0.053785
cashflow_per_share_ttm,每股现金流量净额，根据当时日期来获取最近变更日的总股本,pershare,每股指标因子, 现金流量净额（TTM）除以总股本,0.003661,0.068833,0.708738,high_minus_low,0.086427,0.013669,0.086427,-0.084986,0.013669,-0.044917,0.041796
ltrevrsl,长期反转因子,style_pro,风险因子 - 新风格因子, 0.46 * long_term_historical_alpha + 0.54 * long_term_relative_strength,-0.003016,-0.026266,0.856155,low_minus_high,0.081947,0.019274,-0.088928,0.081947,0.019274,0.040444,-0.050175
EBITDA,息税折旧摊销前利润,basics,基础科目及衍生类因子,  =营业收入－经营成本－营业税及附加,0.021217,0.171333,0.877947,high_minus_low,0.079114,0.025951,0.079114,-0.088934,0.025951,-0.03337,0.065047
liquidity_v2,流动性因子,,,,-0.035921,-0.148626,0.938889,high_minus_low,0.07826,0.011039,0.07826,-0.12604,0.011039,-0.01956,0.048766
short_term_predicted_earnings_growth,预期短期盈利增长率,style,风险因子 - 风格因子, 分析师预测未来1年盈利增长率,-0.006389,-0.050503,0.886269,high_minus_low,0.078196,0.014457,0.078196,-0.087696,0.014457,-0.022228,0.051319
relative_momentum,相对动量因子,style_pro,风险因子 - 新风格因子, 0.50 * historical_alpha + 0.50 * relative_strength_12_month,0.009384,0.042921,0.93361,high_minus_low,0.076742,0.017351,0.076742,-0.113468,0.017351,-0.065314,0.033984
total_asset_growth_rate,总资产增长率,growth,成长类因子, 总资产 / 总资产_4 -1,-0.002355,-0.02727,0.830791,high_minus_low,0.076571,0.013237,0.076571,-0.080267,0.013237,-0.030311,0.044311
debt_to_tangible_equity_ratio,有形净值债务率,quality,质量类因子, 负债合计/有形净值  其中有形净值=股东权益-无形资产净值，无形资产净值= 商誉+无形资产,0.006941,0.091698,0.79473,high_minus_low,0.075129,0.006375,0.075129,-0.075094,0.006375,-0.02407,0.051319
operating_revenue_growth_rate,营业收入增长率,growth,成长类因子, 营业收入增长率=（今年营业收入（TTM）/去年营业收入（TTM））-1,0.003504,0.047449,0.791956,high_minus_low,0.074988,0.013524,0.074988,-0.075807,0.013524,-0.032335,0.043617
average_share_turnover_annual,年度平均月换手率,style,风险因子 - 风格因子, ln(sum(turn_over_ratio)/12)，turn_over_ratio为过去十二个月（252个交易日）的平均换手率,-0.028575,-0.121322,0.937587,high_minus_low,0.074153,0.004882,0.074153,-0.119212,0.004882,-0.02578,0.038059
liquidty,流动性因子,style_pro,风险因子 - 新风格因子, 0.25 * monthly_share_turnover + 0.25 * quarterly_share_turnover + 0.25 * annual_share_turnover + 0.25 * annualized_traded_value_ratio,-0.030373,-0.134169,0.95574,high_minus_low,0.073239,0.011452,0.073239,-0.116567,0.011452,-0.000626,0.064559
cash_to_current_liability,现金比率,quality,质量类因子, 期末现金及现金等价物余额/流动负债合计的12个月均值,-0.005738,-0.086378,0.768377,low_minus_high,0.072867,0.009013,-0.074225,0.072867,0.009013,0.03183,-0.04452
admin_expense_rate,管理费用与营业总收入之比,quality,质量类因子, 管理费用与营业总收入之比=管理费用（TTM）/营业总收入（TTM）,-0.005635,-0.08287,0.805825,low_minus_high,0.070995,0.007312,-0.071799,0.070995,0.007312,0.049663,-0.027246
TRIX10,10日终极指标TRIX,momentum,动量类因子, MTR=收盘价的10日指数移动平均的10日指数移动平均的10日指数移动平均; TRIX=(MTR-1日前的MTR)/1日前的MTR*100,-0.018208,-0.125062,0.873786,low_minus_high,0.069934,0.067166,-0.08683,0.069934,0.067166,0.050623,-0.029802
average_share_turnover_quarterly,季度平均平均月换手率,style,风险因子 - 风格因子, ln(sum(turn_over_ratio)/3)，turn_over_ratio为过去三个月（63个交易日）的平均换手率,-0.035412,-0.147009,0.945908,high_minus_low,0.068785,0.01121,0.068785,-0.118345,0.01121,0.006536,0.06688
momentum,动量因子,style,风险因子 - 风格因子, 动量因子=1.0*相对强弱因子=sum(w_t * ln(1 + r_t))，其中r_t取滞后21个交易日的前504个交易日的close数据，w_t为半衰期为126天的指数权重，满足w(t-126)=0.5*w(t),0.01038,0.045899,0.92233,high_minus_low,0.066698,0.05538,0.066698,-0.108409,0.05538,-0.064246,0.026988
earnvar,盈利变动率因子,style_pro,风险因子 - 新风格因子, 0.20 * variability_in_cashflows + 0.25 * variability_in_earnings + 0.20 * variability_in_sales + 0.35 * std_of_analyst_forecast_earning_to_price,-0.015225,-0.120594,0.872752,high_minus_low,0.066325,0.014979,0.066325,-0.075683,0.014979,-0.042424,0.013436
profit,盈利能力因子,style_pro,风险因子 - 新风格因子, 0.25 * asset_turnover + 0.25 * return_on_assets + 0.25 * gross_profitability_margin + 0.25 * gross_profitability,-0.013875,-0.096878,0.892116,low_minus_high,0.066214,0.002953,-0.076606,0.066214,0.002953,-0.013165,-0.080056
long_debt_to_asset_ratio,长期借款与资产总计之比,quality,质量类因子, 长期借款与资产总计之比=长期借款/总资产,0.006492,0.096929,0.785021,high_minus_low,0.066114,0.008286,0.066114,-0.067616,0.008286,0.000252,0.068462
operating_cost_to_operating_revenue_ratio,销售成本率,quality,质量类因子, 销售成本率=营业成本（TTM）/营业收入（TTM）,0.006309,0.073706,0.823856,high_minus_low,0.065877,0.007045,0.065877,-0.069303,0.007045,-0.045243,0.024121
relative_strength,相对强弱,style,风险因子 - 风格因子, sum(w_t * ln(1 + r_t))，其中r_t取滞后21个交易日的前504个交易日的close数据，w_t为半衰期为126天的指数权重，满足w(t-126)=0.5*w(t),0.010404,0.046007,0.92233,high_minus_low,0.065522,0.055387,0.065522,-0.107402,0.055387,-0.063594,0.026565
total_operating_revenue_per_share,每股营业总收入,pershare,每股指标因子, 每股营业总收入,0.003292,0.042246,0.832178,high_minus_low,0.06534,0.010205,0.06534,-0.067363,0.010205,0.000723,0.069978
EBIT,息税前利润,basics,基础科目及衍生类因子, =净利润+所得税+财务费用,0.025137,0.179862,0.887656,high_minus_low,0.064314,0.020489,0.064314,-0.079354,0.020489,-0.038074,0.048132
fixed_assets_turnover_rate,固定资产周转率,quality,质量类因子, 等于过去12个月的营业收入/过去12个月的平均（固定资产+工程物资+在建工程）,0.001087,0.017131,0.762829,low_minus_high,0.063942,0.005978,-0.066075,0.063942,0.005978,0.023674,-0.037173
sentiment_v2,情绪因子,,,,0.003518,0.036238,0.848611,high_minus_low,0.063486,0.045139,0.063486,-0.070553,0.045139,-0.077997,-0.011644
VOL120,120日平均换手率,emotion,情绪类因子," 120日换手率的均值,单位为%",-0.026213,-0.164886,0.901526,high_minus_low,0.063015,0.012065,0.063015,-0.084991,0.012065,-0.010998,0.040319
debt_to_equity_ratio,产权比率,quality,质量类因子, 产权比率=负债合计/归属母公司所有者权益合计,0.006553,0.085931,0.800277,high_minus_low,0.062591,0.005608,0.062591,-0.064347,0.005608,-0.017747,0.046194
net_operate_cash_flow_ttm,经营活动现金流量净额TTM,basics,基础科目及衍生类因子, 计算过去12个月 经营活动产生的现金流量净值 之和,0.020113,0.167223,0.871012,high_minus_low,0.060825,0.014298,0.060825,-0.07222,0.014298,-0.008255,0.073543
